time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
66013.557553	84.889580	0.013823	6.141346	233
66014.599140	82.703239	0.013823	5.983068	234
66015.646801	82.707428	0.013792	5.996689	235
66016.683920	83.468391	0.013805	6.046458	236
66017.735281	82.274780	0.013814	5.956065	237
66018.768426	83.276573	0.013769	6.047950	238
66019.821946	82.218712	0.013798	5.958830	239
66020.854142	82.023331	0.013796	5.945480	240
66021.909525	84.490990	0.013794	6.125013	241
66022.937581	87.027519	0.013798	6.307281	242
66023.991035	84.931602	0.013829	6.141575	243
66025.026095	85.921021	0.013787	6.231992	244
66026.075392	83.592415	0.013768	6.071615	245
66027.115668	84.029152	0.013795	6.091087	246
66028.161029	85.076996	0.013800	6.164893	247
66029.201540	84.151344	0.013792	6.101493	248
66030.248979	83.133896	0.013798	6.024974	249
66031.290260	83.253632	0.013788	6.038083	250
66032.333913	82.630295	0.013791	5.991589	251
66033.371592	86.490356	0.013813	6.261535	252
66034.419418	84.066261	0.013824	6.081148	253
66035.464799	79.768974	0.013781	5.788197	254
66036.503821	85.086052	0.013786	6.172041	255
66037.548358	83.780296	0.013786	6.077402	0
66038.592879	81.282387	0.013771	5.902476	1
66039.632559	84.562057	0.013789	6.132505	2
66040.680334	81.536865	0.013793	5.911567	3
66041.718072	83.030869	0.013793	6.019644	4
66042.767889	77.734680	0.013766	5.646997	5
66043.806829	83.677147	0.013791	6.067685	6
66044.853610	80.412956	0.013803	5.825963	7
66045.888957	85.094757	0.013804	6.164719	8
66046.941800	80.050842	0.013764	5.815920	9
66047.976759	80.233780	0.013765	5.828963	10
66049.025053	82.878418	0.013790	6.010109	11
66050.058293	83.423370	0.013802	6.044311	12
