crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	10.226349	9526	0.000000
281474976710655.000000	10.460924	9527	0.000000
281474976710655.000000	10.428864	9528	67773198336.000000
281474976710655.000000	9.984267	9529	67774255104.000000
281474976710655.000000	10.529701	9530	67775287296.000000
281474976710655.000000	10.573903	9531	67776339968.000000
281474976710655.000000	10.692270	9532	67777372160.000000
281474976710655.000000	10.235302	9533	67778428928.000000
281474976710655.000000	10.668981	9534	67779457024.000000
281474976710655.000000	10.923573	9535	67780513792.000000
281474976710655.000000	10.952691	9536	67781545984.000000
281474976710655.000000	10.487183	9537	67782598656.000000
281474976710655.000000	10.801576	9538	67783630848.000000
281474976710655.000000	10.961738	9539	67784679424.000000
281474976710655.000000	11.039195	9540	67785719808.000000
281474976710655.000000	11.492990	9541	67786768384.000000
281474976710655.000000	11.430665	9542	67787808768.000000
281474976710655.000000	11.059016	9543	67788853248.000000
281474976710655.000000	11.517061	9544	67789893632.000000
281474976710655.000000	11.478699	9545	67790938112.000000
281474976710655.000000	11.592523	9546	67791978496.000000
281474976710655.000000	11.500440	9547	67793022976.000000
281474976710655.000000	11.979268	9548	67794067456.000000
281474976710655.000000	11.598363	9549	67795111936.000000
281474976710655.000000	11.756012	9550	67796152320.000000
281474976710655.000000	11.969980	9551	67797196800.000000
281474976710655.000000	11.663799	9552	67798237184.000000
281474976710655.000000	11.724836	9553	67799281664.000000
281474976710655.000000	12.431962	9554	67800326144.000000
281474976710655.000000	12.343070	9555	67801366528.000000
281474976710655.000000	12.128811	9556	67802411008.000000
281474976710655.000000	12.218883	9557	67803455488.000000
281474976710655.000000	12.560069	9558	67804495872.000000
281474976710655.000000	12.380581	9559	67805544448.000000
281474976710655.000000	12.626153	9560	67806580736.000000
281474976710655.000000	12.905217	9561	67807629312.000000
281474976710655.000000	12.417544	9562	67808665600.000000
281474976710655.000000	12.710131	9563	67809718272.000000
281474976710655.000000	13.077573	9564	67810750464.000000
281474976710655.000000	12.674253	9565	67811803136.000000
281474976710655.000000	12.590787	9566	67812835328.000000
281474976710655.000000	13.067787	9567	67813892096.000000
281474976710655.000000	13.025310	9568	67814920192.000000
281474976710655.000000	12.969773	9569	67815976960.000000
281474976710655.000000	13.152237	9570	67817009152.000000
281474976710655.000000	13.166397	9571	67818061824.000000
281474976710655.000000	13.536471	9572	67819094016.000000
281474976710655.000000	13.215699	9573	67820146688.000000
281474976710655.000000	13.800388	9574	67821182976.000000
281474976710655.000000	13.275156	9575	67822231552.000000
281474976710655.000000	13.812707	9576	67823267840.000000
281474976710655.000000	14.241761	9577	67824316416.000000
281474976710655.000000	14.219839	9578	67825356800.000000
281474976710655.000000	13.665826	9579	67826401280.000000
281474976710655.000000	14.043217	9580	67827441664.000000
281474976710655.000000	13.725389	9581	67828486144.000000
281474976710655.000000	14.306479	9582	67829530624.000000
281474976710655.000000	13.964352	9583	67830575104.000000
281474976710655.000000	14.389880	9584	67831615488.000000
281474976710655.000000	14.554581	9585	67832659968.000000
281474976710655.000000	14.544094	9586	67833700352.000000
281474976710655.000000	14.189063	9587	67834744832.000000
281474976710655.000000	14.530940	9588	67835785216.000000
281474976710655.000000	14.647799	9589	67836829696.000000
281474976710655.000000	14.496975	9590	67837874176.000000
281474976710655.000000	14.726095	9591	67838918656.000000
281474976710655.000000	14.392071	9592	67839959040.000000
281474976710655.000000	14.307920	9593	67841003520.000000
281474976710655.000000	14.542995	9594	67842043904.000000
281474976710655.000000	14.369911	9595	67843088384.000000
281474976710655.000000	15.138247	9596	67844128768.000000
281474976710655.000000	14.585875	9597	67845177344.000000
281474976710655.000000	14.895095	9598	67846217728.000000
281474976710655.000000	15.474787	9599	67847262208.000000
281474976710655.000000	15.579051	9600	67848302592.000000
281474976710655.000000	15.202970	9601	67849347072.000000
281474976710655.000000	15.810994	9602	67850387456.000000
281474976710655.000000	14.996781	9603	67851436032.000000
281474976710655.000000	15.070632	9604	67852472320.000000
281474976710655.000000	15.081972	9605	67853520896.000000
281474976710655.000000	15.933345	9606	67854557184.000000
281474976710655.000000	15.941326	9607	67855609856.000000
281474976710655.000000	16.351322	9608	67856642048.000000
281474976710655.000000	15.148666	9609	67857694720.000000
281474976710655.000000	15.787598	9610	67858726912.000000
281474976710655.000000	15.842231	9611	67859779584.000000
281474976710655.000000	16.209433	9612	67860815872.000000
281474976710655.000000	15.558039	9613	67861864448.000000
281474976710655.000000	15.766828	9614	67862900736.000000
281474976710655.000000	15.929463	9615	67863949312.000000
281474976710655.000000	16.391348	9616	67864989696.000000
281474976710655.000000	16.303127	9617	67866034176.000000
281474976710655.000000	16.626291	9618	67867074560.000000
281474976710655.000000	16.648264	9619	67868123136.000000
281474976710655.000000	16.203384	9620	67869159424.000000
281474976710655.000000	16.934057	9621	67870208000.000000
281474976710655.000000	16.034191	9622	67871248384.000000
281474976710655.000000	16.247372	9623	67872292864.000000
