num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
9095	426315.554440	102.913223	-2.972823	-0.494753	16.256085
9097	426317.643365	100.776032	-3.033584	-0.483900	16.217347
9099	426319.729731	103.241634	-3.106613	-0.495694	16.463655
9101	426321.815514	100.282531	-3.205176	-0.498575	16.940244
9103	426323.903060	102.880994	13.972932	-0.456566	16.685942
9105	426325.988737	103.020644	-3.485858	-0.500988	16.390665
9107	426328.075930	102.759539	-3.078884	-0.510555	16.620727
9109	426330.163776	94.395670	-0.715395	-0.505812	16.882937
9111	426332.251423	110.926932	-6.715588	-0.445937	15.844794
9113	426334.340071	95.141851	-0.119036	-0.508682	16.359731
9115	426336.428048	108.429710	-5.421203	-0.454732	16.587202
9117	426338.517431	94.655986	0.042393	-0.504161	16.445622
9119	426340.604892	100.529949	-3.118304	-0.502375	16.074019
9121	426342.692656	107.814250	-5.340445	-0.465906	16.089572
9123	426344.778249	101.580809	-3.480731	-0.512628	16.200969
9125	426346.864574	92.942933	-2.815415	-0.497738	16.306862
9127	426348.949860	99.598749	-3.548612	-0.493569	15.800299
9129	426351.036089	100.365269	13.613110	-0.462854	16.006319
9131	426353.122540	101.231481	-3.738885	-0.513846	16.190831
9133	426355.210266	93.034677	-1.933495	-0.508567	15.772225
9135	426357.297941	100.668729	13.085688	-0.479078	15.727824
9137	426359.386593	100.063686	12.856357	-0.482795	15.627460
9139	426361.473686	100.860420	-3.968062	-0.518490	15.859134
9141	426363.561896	96.882069	-4.101144	-0.520890	15.577507
9143	426365.649450	109.866146	-6.565548	-0.466164	16.053080
9145	426367.737243	93.108015	-0.232359	-0.522086	15.466964
9147	426369.824038	99.256516	12.305224	-0.489752	16.226070
9149	426371.911657	98.519852	-3.978742	-0.512413	15.623822
9151	426373.998904	98.455481	-4.131649	-0.515015	15.778981
9153	426376.086022	99.248552	12.550728	-0.494822	15.327257
9155	426378.173349	98.813464	12.610291	-0.496509	15.328292
9157	426380.260020	99.121663	12.650248	-0.496487	16.028634
9159	426382.347548	99.919493	-4.571808	-0.528936	15.604112
9161	426384.435182	99.748545	-3.977506	-0.539064	15.979457
9163	426386.523667	89.642198	1.913853	-0.542057	15.706648
9165	426388.612425	97.849441	12.617700	-0.481412	15.750963
9167	426390.702011	107.861173	-7.008075	-0.483209	15.676238
9169	426392.790751	97.061494	-4.191906	-0.517225	15.854170
9171	426394.879076	104.760803	-6.100913	-0.491830	15.072116
9173	426396.966880	99.213120	-4.264218	-0.530387	15.969297
9175	426399.053735	92.953693	-2.466145	-0.536813	15.241375
9177	426401.140864	100.438615	11.911979	-0.500448	15.182268
9179	426403.227395	99.136019	11.764509	-0.503191	15.704025
9181	426405.314237	98.425172	11.547341	-0.507833	15.510968
9183	426407.401744	97.002840	-4.014209	-0.530385	15.245501
9185	426409.488812	98.654312	11.585506	-0.510976	15.698297
9187	426411.577000	106.183360	-7.136573	-0.489735	15.475043
9189	426413.664979	100.520653	-3.789315	-0.523196	15.238498
9191	426415.754034	96.545304	-4.390702	-0.539672	15.473772
9193	426417.841337	108.127293	-8.613881	-0.523478	15.596143
9195	426419.928650	101.285630	-5.558671	-0.535458	15.226337
9197	426422.014529	91.070536	-3.837019	-0.540719	15.255908
9199	426424.100861	98.446942	-4.799332	-0.546965	14.794547
9201	426426.186266	90.865697	-3.892418	-0.551839	15.215639
9203	426428.272844	107.921904	-7.287877	-0.519785	14.958275
9205	426430.359219	91.180987	-3.674839	-0.553709	14.820883
9207	426432.446399	97.247566	11.757890	-0.521506	15.197897
9209	426434.533606	96.323704	-5.054323	-0.540789	15.195279
9211	426436.621305	96.185506	-5.253566	-0.545044	14.894643
9213	426438.708979	97.132402	-5.057406	-0.560717	15.036848
9215	426440.796672	101.966955	-3.748885	-0.522995	15.214701
9217	426442.884449	101.619275	-3.603463	-0.528377	14.845112
9219	426444.971389	99.910262	-1.793864	-0.536986	14.868698
9221	426447.058780	99.508091	-2.336635	-0.541204	14.978721
9223	426449.146595	89.279446	-2.336174	-0.567513	15.158913
9225	426451.233649	96.912040	-5.308177	-0.568475	14.136528
9227	426453.320390	89.474161	-3.278600	-0.567448	14.543339
9229	426455.408247	106.558885	-6.902817	-0.532483	14.591833
9231	426457.495914	94.289053	-5.219364	-0.562054	14.805362
9233	426459.584245	107.837636	-8.363072	-0.534932	15.144715
9235	426461.673296	90.100052	-4.268484	-0.574698	14.873948
