time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
424869.239689	0.233412	0.017279	0.013508	38
424870.310256	2.206539	0.017280	0.127695	39
424871.336529	227.346756	0.017283	13.154019	40
424872.406773	1.818499	0.017288	0.105189	41
424873.423599	-0.103370	0.017279	-0.005983	42
424874.482946	2.892539	0.017259	0.167598	43
424875.475753	2.511251	0.017285	0.145286	44
424876.579336	0.582372	0.017266	0.033730	45
424877.619685	-0.602665	0.017257	-0.034924	46
424878.644047	6.401217	0.017286	0.370304	47
424879.635061	7.878667	0.017261	0.456430	48
424880.741699	2.726941	0.017257	0.158023	49
424881.755766	0.367787	0.017224	0.021354	50
424882.848299	2.312744	0.017279	0.133846	51
424883.865233	-0.573538	0.017276	-0.033198	52
424884.902487	8.144104	0.017254	0.472014	53
424885.917349	3.865341	0.017275	0.223752	54
424887.000140	4.104290	0.017254	0.237870	55
424888.015634	1.309690	0.017248	0.075931	56
424889.074082	5.767891	0.017221	0.334934	57
424890.111582	0.474275	0.017270	0.027462	58
424891.160930	6.767811	0.017248	0.392393	59
424892.183958	2.693778	0.017252	0.156140	60
424893.269021	2.420353	0.017281	0.140055	61
424894.273668	5.450760	0.017249	0.315998	62
424895.333496	4.379986	0.017255	0.253839	63
424896.359497	4.050608	0.017273	0.234501	64
424897.418887	8.005488	0.017244	0.464247	65
424898.469246	0.665089	0.017246	0.038565	66
424899.541510	1.928890	0.017223	0.111993	67
424900.532388	3.298146	0.017248	0.191220	68
424901.614115	4.484312	0.017266	0.259713	69
424902.652966	1.005945	0.017249	0.058318	70
424903.710954	3.391172	0.017242	0.196682	71
424904.747835	-0.385791	0.017266	-0.022344	72
424905.764357	13.305570	0.017240	0.771787	73
424906.792467	3.438724	0.017270	0.199121	74
424907.872576	6.055050	0.017239	0.351238	75
424908.909812	0.063837	0.017260	0.003699	76
424909.969426	3.387309	0.017265	0.196199	77
424910.985386	0.316268	0.017218	0.018368	78
424912.034752	8.524820	0.017247	0.494274	79
424913.082238	-1.742206	0.017242	-0.101042	80
424914.140813	4.146221	0.017266	0.240139	81
424915.146960	3.540284	0.017239	0.205368	82
424916.228665	2.652927	0.017209	0.154155	83
424917.219819	7.567387	0.017220	0.439452	84
424918.326259	1.033323	0.017216	0.060022	85
424919.340378	-0.512097	0.017237	-0.029710	86
424920.389747	5.431216	0.017241	0.315026	87
424921.407939	5.070596	0.017233	0.294238	88
424922.507902	1.634626	0.017264	0.094684	89
424923.512895	2.028722	0.017243	0.117652	90
424924.584723	60.698292	0.017235	3.521816	91
424925.588866	1.698066	0.017224	0.098585	92
424926.650605	7.449206	0.017237	0.432152	93
424927.664400	5.418293	0.017235	0.314368	94
424928.745063	3.811029	0.017264	0.220753	95
424929.761018	2.865954	0.017230	0.166335	96
424930.843865	2.529383	0.017236	0.146747	97
424931.858692	0.614112	0.017234	0.035634	98
424932.940429	1.723716	0.017274	0.099787	99
424933.942316	1.584192	0.017226	0.091965	100
424935.006078	8.236320	0.017270	0.476917	101
424936.031420	1.571563	0.017246	0.091124	102
424937.100934	5.467752	0.017209	0.317729	103
424938.117411	0.788588	0.017235	0.045754	104
424939.198064	3.195459	0.017253	0.185216	105
424940.202730	0.363173	0.017311	0.020980	106
424941.262269	8.130178	0.017203	0.472599	107
424942.279343	5.564689	0.017248	0.322620	108
424943.359716	3.854109	0.017229	0.223702	109
424944.376163	4.198910	0.017229	0.243713	110
424945.457093	1.747411	0.017238	0.101370	111
424946.473034	3.134097	0.017234	0.181859	112
424947.521806	7.026272	0.017231	0.407761	113
424948.570078	1.098872	0.017235	0.063760	114
424949.619471	4.761232	0.017259	0.275870	115
424950.633747	4.961780	0.017237	0.287849	116
424951.715858	2.646166	0.017230	0.153576	117
424952.733070	2.153848	0.017221	0.125071	118
424953.780540	9.696534	0.017222	0.563045	119
424954.829946	0.264078	0.017234	0.015323	120
424955.877419	7.143502	0.017230	0.414608	121
424956.888838	4.405615	0.017226	0.255758	122
424957.973439	5.177022	0.017256	0.300005	123
424958.978970	3.049878	0.017245	0.176854	124
424960.083988	2.440582	0.017234	0.141611	125
424961.087557	0.253897	0.017202	0.014760	126
424962.135879	8.785069	0.017249	0.509312	127
424963.176764	1.338415	0.017204	0.077798	128
424964.233525	5.599687	0.017217	0.325243	129
