crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	16.544325	7481	424619769856.000000
281474976710655.000000	16.256584	7482	424620785664.000000
281474976710655.000000	16.174669	7483	424621834240.000000
281474976710655.000000	16.289934	7484	424622882816.000000
281474976710655.000000	16.339407	7485	424623931392.000000
281474976710655.000000	16.514065	7486	424624947200.000000
281474976710655.000000	16.202541	7487	424626028544.000000
281474976710655.000000	16.846079	7488	424627044352.000000
281474976710655.000000	15.982878	7489	424628125696.000000
281474976710655.000000	16.246075	7490	424629141504.000000
281474976710655.000000	16.396942	7491	424630190080.000000
281474976710655.000000	16.658266	7492	424631238656.000000
281474976710655.000000	15.537032	7493	424632287232.000000
281474976710655.000000	15.972127	7494	424633303040.000000
281474976710655.000000	16.266479	7495	424634384384.000000
281474976710655.000000	16.352715	7496	424635400192.000000
281474976710655.000000	15.354840	7497	424636448768.000000
281474976710655.000000	15.480943	7498	424637497344.000000
281474976710655.000000	16.134933	7499	424638545920.000000
281474976710655.000000	16.109503	7500	424639561728.000000
281474976710655.000000	15.089691	7501	424640643072.000000
281474976710655.000000	15.959612	7502	424641658880.000000
281474976710655.000000	16.161692	7503	424642740224.000000
281474976710655.000000	16.237116	7504	424643756032.000000
281474976710655.000000	15.632742	7505	424644804608.000000
281474976710655.000000	15.723584	7506	424645820416.000000
281474976710655.000000	15.921476	7507	424646901760.000000
281474976710655.000000	15.971248	7508	424647917568.000000
281474976710655.000000	15.283832	7509	424648998912.000000
281474976710655.000000	16.040049	7510	424650014720.000000
281474976710655.000000	15.538792	7511	424651096064.000000
281474976710655.000000	15.595023	7512	424652079104.000000
281474976710655.000000	15.600789	7513	424653160448.000000
281474976710655.000000	15.423038	7514	424654176256.000000
281474976710655.000000	16.075537	7515	424655257600.000000
281474976710655.000000	15.616981	7516	424656273408.000000
281474976710655.000000	15.856909	7517	424657354752.000000
281474976710655.000000	15.328172	7518	424658337792.000000
281474976710655.000000	15.084531	7519	424659419136.000000
281474976710655.000000	15.204321	7520	424660434944.000000
281474976710655.000000	15.037099	7521	424661516288.000000
281474976710655.000000	15.907072	7522	424662532096.000000
281474976710655.000000	15.109708	7523	424663613440.000000
281474976710655.000000	15.858250	7524	424664629248.000000
281474976710655.000000	15.253646	7525	424665677824.000000
281474976710655.000000	15.226554	7526	424666693632.000000
281474976710655.000000	14.727253	7527	424667774976.000000
281474976710655.000000	15.334373	7528	424668790784.000000
281474976710655.000000	15.477189	7529	424669872128.000000
281474976710655.000000	15.509623	7530	424670887936.000000
281474976710655.000000	15.276372	7531	424671936512.000000
281474976710655.000000	15.696127	7532	424672952320.000000
281474976710655.000000	14.928223	7533	424674033664.000000
281474976710655.000000	15.800470	7534	424675049472.000000
281474976710655.000000	15.350390	7535	424676130816.000000
281474976710655.000000	15.886606	7536	424677146624.000000
281474976710655.000000	14.897305	7537	424678195200.000000
281474976710655.000000	15.055039	7538	424679243776.000000
281474976710655.000000	15.142593	7539	424680292352.000000
281474976710655.000000	15.365433	7540	424681308160.000000
281474976710655.000000	15.397440	7541	424682389504.000000
281474976710655.000000	15.095055	7542	424683405312.000000
